ENSG,Tissue,Cohens_D,Wilcoxon_p,PearsonR_AGE,Pearson_p_AGE,PearsonR_BMI,Pearson_p_BMI
ENSG00000004776,Kidney,-0.117811829835789,0.594240153257534,-0.0344272972910094,0.754434789726666,0.0611971461703675,0.577952607974851
ENSG00000005001,Breast,0.826132155596519,2.3184219761185e-13,-0.00752663029835251,0.87251668458231,-0.033675420581348,0.472676888583305
ENSG00000006062,Kidney,0.0384156582653546,0.903446856544713,0.0659485459167694,0.548728570243679,-0.0406974239713139,0.71152446595507
ENSG00000006555,Breast,1.11263753587742,3.45110063336213e-24,-0.023612484053637,0.614637358584238,-0.0184621424858135,0.69385556560307
ENSG00000007312,Intestine,0.240987508207178,0.105859175042968,-0.186447745143365,0.0108327069295902,-0.149199329800447,0.0421050108626422
ENSG00000008196,Breast,0.539943621242489,4.16152546018178e-07,0.0114174660769773,0.807682351244057,-0.0278229621658244,0.552998512957789
ENSG00000009335,Uterus,NA,NA,-0.0354234088614795,0.676666473789782,-0.0852153310018146,0.315042519707023
ENSG00000009790,Intestine,0.141029803805753,0.323507796426314,-0.198293497344658,0.00666516119859557,-0.132123474788528,0.0722299847988245
ENSG00000010438,Vagina,NA,NA,-0.235053597118788,0.0033419284183232,0.0497096528368223,0.540383415652747
ENSG00000012124,Intestine,0.272693925357138,0.0748088762844047,-0.177846465799155,0.0151595998407056,-0.130591847389134,0.0756266469069717
ENSG00000016391,Breast,0.650602597451814,5.98992066535605e-09,-0.0222501272318401,0.635207943977154,-0.00630763393316029,0.893027878701686
ENSG00000016402,Breast,0.514214049675627,9.5415414204522e-07,0.00476591034619854,0.919070149288036,-0.0102906696331526,0.826344140872978
ENSG00000022976,Kidney,0.088760076603401,0.444408732554365,-0.0442328936772125,0.68770917749973,-0.0442928507106866,0.687307833202011
ENSG00000026751,Colon,-0.0815870637102606,0.353332100564637,-0.110250902117087,0.02669776191637,-0.08059996481853,0.105737541431721
ENSG00000033050,Kidney,0.157327298063896,0.579716617547637,0.0896827634277774,0.414363792704905,0.00111327228226245,0.991932013676106
ENSG00000035720,Intestine,0.198376807434564,0.181475488741782,-0.162826140627169,0.0263833296469226,-0.126610034719426,0.0850646329981061
ENSG00000039068,Breast,0.848127727882282,1.39536695732154e-12,-0.014730147577465,0.753483646099447,-0.0205270883555999,0.661630332416692
ENSG00000043039,Breast,1.02464360776259,9.80592850749271e-21,0.00699587724975412,0.881437626805156,-0.0219879904734626,0.639199076752558
ENSG00000052344,Breast,1.25660002644133,3.72399136400898e-29,-0.0163516034494848,0.727372102684187,-0.0338370343533514,0.470553481910439
ENSG00000060558,Brain,-0.048220147789297,0.858411374461274,0.0803674054493346,0.213807827137069,-0.0690270859732757,0.285840564653939
ENSG00000062038,Breast,1.51451236718747,7.19273202687875e-37,0.00483304408627743,0.917934139643114,-0.0246573104041862,0.599062309064647
ENSG00000062282,Vagina,NA,NA,-0.0448067882206502,0.581095923571928,0.0274950890089206,0.734994586168241
ENSG00000065618,Breast,1.23032386590822,8.60447169911456e-29,0.00180447914249466,0.969313154478094,0.000550663589361334,0.990633365896929
ENSG00000065621,Breast,0.849297455135745,2.05328836814203e-15,-0.0357341077251954,0.446024623290304,-0.0135305395208492,0.772986271018914
ENSG00000067606,Breast,0.899600912896567,6.92527210890925e-17,-0.0557604724840672,0.234170637918151,-0.0208620299392907,0.656459755307829
ENSG00000069424,Kidney,0.0471617777659609,0.812391248500494,-0.0817300295703168,0.457117209761236,-0.157142220307226,0.15092591919107
ENSG00000070190,Intestine,0.194041558537908,0.239054273533974,-0.175300660108,0.0167008882848521,-0.138355397807042,0.0596647138185485
ENSG00000073282,Breast,1.45973373032784,1.07405072781635e-34,0.00227694297526957,0.961284103307867,-0.0116082067731918,0.804533797077401
ENSG00000076826,Breast,0.669567354255609,2.61629946697305e-09,-0.0188231588671693,0.688179601204399,-0.013820967251092,0.768250992553951
ENSG00000076864,Breast,0.592358338963012,9.73454666775012e-09,-0.0246084241651122,0.599787059129251,-0.0169267633846685,0.718183376750319
ENSG00000076984,Salivary,0.0247551116249131,0.822017712892224,0.103191331706855,0.192701346669823,-0.00390831851253229,0.960756099425041
ENSG00000078804,Uterus,NA,NA,-0.361361130274509,1.07044581674566e-05,0.0845886384337639,0.318627624967364
ENSG00000079263,Intestine,0.208798597357709,0.182404253229455,-0.180280316526567,0.0138037560261812,-0.122272713996076,0.0963965147803611
ENSG00000083307,Breast,0.856110093074774,2.61162627123455e-14,-0.0145911670411488,0.755735374758236,-0.0155419778655899,0.740372855512914
ENSG00000083454,Intestine,0.27881230989873,0.0734305464767563,-0.16686819965859,0.022820781572189,-0.138096820054516,0.060147707334156
ENSG00000083457,Vagina,NA,NA,-0.0667809124987657,0.410566846077477,0.0801674171791269,0.322987207082787
ENSG00000085514,Kidney,0.192914955910274,0.431945568916515,-0.0590432224197507,0.591433146773302,-0.00577283292419904,0.958181865233224
ENSG00000085552,Breast,0.734169574735438,4.60232335100188e-12,-0.0521776399401382,0.265650838123367,-0.0138057399214107,0.768499054232413
ENSG00000085760,Uterus,NA,NA,-0.269518834579757,0.00122973490229863,-0.227336497701264,0.00670737738439992
ENSG00000087157,Kidney,0.0978042083171865,0.89509753228834,0.0275461396369444,0.802393969685422,0.0075995837726303,0.944967109808373
ENSG00000087510,Breast,1.2929765057188,1.04256379285382e-30,0.00272074678486425,0.95374564876297,-0.00512714384193292,0.912959502380702
ENSG00000089234,Vagina,NA,NA,-0.094211141969123,0.245157840006352,-0.0230437154840784,0.776661137995118
