gene,p_value,cohens_d
ENSG00000005001,4.2023348353630284e-13,0.8516731535596884
ENSG00000007062,1.637262681132459e-33,1.4685242772088034
ENSG00000008196,6.276379931264717e-8,0.6036782016379748
ENSG00000012817,2.6139613859935158e-71,-13.648506891747761
ENSG00000016391,4.8602365314925064e-8,0.6737727947236763
ENSG00000016402,6.460226403838693e-6,0.5228632536246235
ENSG00000039068,7.550574461394219e-12,0.883703597097202
ENSG00000043039,1.8972703435630743e-21,1.0376388520437085
ENSG00000052344,2.516473340395595e-31,1.2884875592681855
ENSG00000062038,2.2070200777463443e-37,1.542106936299806
ENSG00000065361,1.0605136167226362e-4,0.5765022425275287
ENSG00000065618,1.8732482127019056e-30,1.2590296884053387
ENSG00000065621,4.41374710475109e-16,0.8729677281182686
ENSG00000067048,2.6149730464618536e-71,-13.579879792395891
ENSG00000073282,7.776149452312782e-36,1.4980184618828938
ENSG00000076826,9.64491370867453e-9,0.7101443346402218
ENSG00000076864,5.044501261879685e-9,0.6227143072587785
ENSG00000078114,9.959307741598977e-14,0.8165942264010333
ENSG00000083307,1.6017757762904003e-14,0.8988708141168736
ENSG00000085552,4.315306081912414e-12,0.7620427332689579
ENSG00000087510,7.152463249979976e-33,1.3313797091121236
ENSG00000089356,1.7099732291826187e-18,0.9950895664826354
ENSG00000094755,1.6512767057185447e-38,1.5816591902025305
ENSG00000099725,2.3331794550530127e-71,-7.79865074725544
ENSG00000099849,1.9874896525268766e-11,0.7183250100085967
ENSG00000100290,0.0017408828012200996,0.29052636212400895
ENSG00000101443,5.62906871862245e-19,1.0087450212643099
ENSG00000102890,2.0568353311539314e-10,0.7117910533681299
ENSG00000103067,1.0794799289184371e-7,0.669894866998877
ENSG00000103942,5.626155555721204e-17,0.8814943664804833
ENSG00000104140,2.818580336718158e-24,1.1678357730376439
ENSG00000104413,9.187394326748972e-15,0.9050591575422594
ENSG00000104447,2.551729049115272e-6,0.5736750784039458
ENSG00000105289,2.5308816526810725e-13,0.8389963669048139
ENSG00000105855,5.563403464591939e-24,1.1089061861677398
ENSG00000107485,3.2613937777210984e-10,0.7377439130461176
ENSG00000108244,7.217339783724641e-20,0.995763802939756
ENSG00000108375,1.4212918394337498e-13,0.8094652049994101
ENSG00000110484,7.495131719083778e-6,0.5725093753027457
ENSG00000111057,6.783435404749243e-8,0.7155691695838629
ENSG00000111319,2.5281194354405815e-24,1.1095731745886648
ENSG00000112812,3.588675944270416e-22,1.0307376276665423
ENSG00000113430,6.221254149230941e-16,0.8597983039300612
ENSG00000113645,4.446199466954353e-22,1.0316434250037594
ENSG00000114270,1.6183853478518502e-19,0.9796566230781432
ENSG00000114374,2.5749088681091743e-71,-8.248243838299203
ENSG00000115221,1.8109945753787854e-30,1.3406164426791742
ENSG00000115339,9.052884888970058e-15,0.8474165425133131
