SAMPID,PC1,PC2,PC3,PC4,PC5,PC6
GTEX-111CU,-1.12619769212994,-0.877514871688339,0.156572325240003,-0.0773242696303494,-0.53321987392071,0.188227582298524
GTEX-111YS,-0.757847095388359,-0.613150943764081,0.632833730067015,0.0595228147244097,-0.338909603930439,0.105251300204066
GTEX-1122O,-0.46644344108881,0.0972939040249798,1.70073608625375,0.243555075772995,-0.633431600833458,0.217822807878098
GTEX-1128S,3.15115630380749,-0.0867464440073774,0.0513849493924192,0.188636132688593,0.122052175244553,0.149314036513284
GTEX-117YX,-0.982022887779336,-0.639159230603598,0.413921121794053,0.0718238882389105,-0.529711791422371,0.186283144622997
GTEX-11DXX,-1.08345757761632,-1.1424952705293,0.253816372613108,-0.40006976793092,-0.434165831007692,0.141576564064484
GTEX-11EQ9,-0.112660068188212,-1.02564394715044,-0.430369266223342,-0.315046751770709,-1.58478135043896,-0.882221186180436
GTEX-11GSP,2.51564367919249,-1.1676680699675,-0.844989433168254,-0.656255955773028,0.0167731240483111,0.189485038174197
GTEX-11I78,-1.10015497027914,0.45179210838404,-0.514402871469179,1.77246062061475,-0.641975994274534,0.267958764817968
GTEX-11LCK,-0.527491959059081,0.270904682253935,0.669523528411817,1.07230120040537,-0.336911139513979,0.119271820846719
GTEX-11NSD,-0.789332079206311,0.0943045237946662,0.576726765895334,0.826271409029511,-0.581318706730028,0.217130797523005
GTEX-11ONC,2.41790966438367,-0.867050362520413,-0.66126316671698,-0.505073963860245,-0.282289458024359,0.312859717595202
GTEX-11P7K,-0.742972521002574,0.0982028018979134,0.566963015846542,0.858150634289897,-0.518394841798165,0.191822192140162
GTEX-11TT1,-1.45141508167698,-1.33633731084541,-0.481002741742042,-0.293469898189258,-0.542367518289739,0.195539607904583
GTEX-11VI4,-1.11574818612088,0.11112346161434,-0.544558529276745,1.4264272599028,-0.541216915653768,0.221614455065395
GTEX-11XUK,-0.0690214105968484,0.975067231495554,2.09836787680688,1.09083654970294,-0.563718982399823,0.197641441906824
GTEX-1211K,-1.19395116793216,-1.32853632297425,-0.00575008182432304,-0.477164648583037,-0.409736329294648,0.133132562206823
GTEX-12BJ1,-0.459983322344668,0.0949430585817187,1.30095918546217,0.505430402608119,-0.45727328470623,0.153538589486956
GTEX-12WSD,2.70465709959651,-0.326190713951943,0.656368538299749,-0.664947996966796,-0.633243878431699,0.44081620337753
GTEX-12WSG,-0.33666517637797,0.422278274868947,0.24453742555675,1.59752972452752,0.0398282354948375,-0.0233184049720175
GTEX-12WSK,-1.29631326105914,-1.38492726825454,-0.387031357693615,-0.334475260013224,-0.365154675892135,0.121000195422076
GTEX-12WSL,-0.968985863350066,-1.00880791223744,-0.156198752893243,0.0615217148453195,-0.157015730394385,0.0388489955017888
GTEX-12WSN,-0.695396467157002,-0.745167781675099,0.606154868409568,-0.0331641880987302,-0.204827839870287,0.0489689287251009
GTEX-131XE,-0.966383753840426,-1.01430861381707,-0.15731037212897,0.0576597563943553,-0.151428990225212,0.0365038966901653
GTEX-131XF,-0.147586777721442,0.604856851281,1.28282319178957,1.19812802173242,-0.207020364491113,0.0611760680850768
GTEX-131XG,-1.29735540728755,-1.00567266103686,-0.61485287863887,0.213155126216421,-0.391958467523663,0.142696476846859
GTEX-132AR,0.0780498687706994,-0.317234498073922,-1.20422885566955,0.282101449066837,-0.605382119970258,1.96927281766886
GTEX-132QS,1.49145568854457,-0.976099539586536,-0.691554318487413,1.58134045948579,3.24512441898521,-1.33251192660732
GTEX-1339X,-0.771597008435309,-0.426603307582254,0.654225620364105,0.235533162926648,-0.425010285496782,0.143099880157499
GTEX-1399R,-0.707812957031075,0.263021240597425,0.708218089443584,0.955495741985121,-0.584276293105494,0.218889348977822
GTEX-1399S,-1.08659029079067,-1.0542104364191,0.395911940627598,-0.401495839418651,-0.525681404132138,0.177697117181181
GTEX-1399U,-1.13867060034846,-0.901267813809044,-0.506589932646859,0.325486282842137,-0.264741901264985,0.090883869610791
GTEX-139YR,-0.717455172574713,-0.803524453507474,0.605233039040232,-0.104160918821986,-0.214468267522801,0.0518777278289611
GTEX-13CF3,-1.26403211139155,-1.493309914554,-0.40477739343503,-0.422049359875437,-0.281424669700449,0.085418484262266
GTEX-13D11,-0.767650732197786,0.143149301494432,0.178662746575632,1.14793410301336,-0.402434233498604,0.152605855265523
GTEX-13FH7,-0.545706345511462,-0.277949605092674,1.15026890834276,0.171923352037342,-0.386792675341404,0.121127237091135
GTEX-13FLV,3.40431602506737,-0.875115723816103,-0.0817151038105426,-0.437280090797188,0.756558229059063,-0.119771522792966
GTEX-13FTW,-1.0263436886713,-0.802806616232417,0.00936601575023596,0.143625671006546,-0.366062252743669,0.12433799123114
GTEX-13FTX,-0.239987380073187,0.281092717839191,1.53656681373187,0.648834043134579,-0.329806006759537,0.100732194637845
GTEX-13N11,-0.810206135749418,-0.0324476147073195,0.170674880294936,0.948703583771694,-0.398392196111817,0.148030991398497
GTEX-13O1R,2.79055894313397,-1.40364518415962,-0.39757828735007,-1.07027129103227,0.261202446041733,0.0779071361795636
GTEX-13O61,-0.290117962389431,0.412100601460722,1.29502868103028,0.921500788216738,-0.335530921844163,0.109765122652699
GTEX-13OVI,-1.10866971930551,-1.1674409870832,-0.141254087593433,-0.179667857896162,-0.293835301655286,0.091360927272303
GTEX-13PL7,-1.26444668834547,-0.600754375962771,-0.98028760832211,0.89343289817158,-0.325425364595763,0.129448777102315
GTEX-13PVR,-1.07052032492095,-0.814407324637974,0.0178929498845797,0.105455587116485,-0.423189971834153,0.1471801302338
